Unnamed: 0,subarea,ens,unet,fold,Experiment,Nummer,mean,count,Neun_Area,Kondition,Group,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
31,CA1,ens_10,ens_10,bin_average,2,512,0.13646783997450618,24,86428,+,2,0.0002776877863655297,5.067150310303821e-05,0.1722766549040584,5.480156880305369,0.7921435440600219
32,CA1,ens_10,ens_10,bin_average,2,518,0.20578279180999207,31,91181,+,2,0.0003399831105164453,5.067150310303821e-05,0.1722766549040584,6.709552503802878,1.1944902919353368
33,CA1,ens_10,ens_10,bin_average,2,648,0.14659847978540042,52,127224,-,1,0.0004087279129723952,5.067150310303821e-05,0.1722766549040584,8.066228312613214,0.8509480281413736
34,CA1,ens_10,ens_10,bin_average,2,654,0.1661375972581162,38,97812,-,1,0.0003885003885003885,5.067150310303821e-05,0.1722766549040584,7.667038960940047,0.9643651216158041
35,CA1,ens_10,ens_10,bin_average,2,661,0.08711766106943081,11,99443,-,1,0.00011061613185442918,5.067150310303821e-05,0.1722766549040584,2.183004747846068,0.5056846565656096
36,CA1,ens_10,ens_10,bin_average,2,668,0.2062504283544973,38,91235,-,1,0.00041650682303940375,5.067150310303821e-05,0.1722766549040584,8.219744778291973,1.1972047429720472
37,CA1,ens_10,ens_10,bin_average,2,675,0.16846709091353668,30,90424,-,1,0.00033177032646200126,5.067150310303821e-05,0.1722766549040584,6.547473553080937,0.9778869400927056
38,CA1,ens_10,ens_10,bin_average,3,680,0.16023193774560354,48,133274,-,1,0.00036016027132073774,4.062403920779049e-05,0.165782877814361,8.865693277778977,0.9665168071519834
39,CA1,ens_10,ens_10,bin_average,3,683,0.19319594100356036,57,138193,-,1,0.0004124666227667103,4.062403920779049e-05,0.165782877814361,10.153264687860274,1.1653552137024408
40,CA1,ens_10,ens_10,bin_average,3,686,0.2177578333861551,35,101515,-,1,0.0003447766339949761,4.062403920779049e-05,0.165782877814361,8.487010172264165,1.3135122049817125
41,CA1,ens_10,ens_10,bin_average,3,690,0.14864332663802013,27,110909,-,1,0.0002434428224941168,4.062403920779049e-05,0.165782877814361,5.992580433691383,0.8966144670529049
42,CA1,ens_10,ens_10,bin_average,3,696,0.20107733598696614,47,110590,-,1,0.0004249932181933267,4.062403920779049e-05,0.165782877814361,10.461618944869118,1.2128956779971387
43,CA1,ens_10,ens_10,bin_average,3,701,0.2321920505822163,47,100646,-,1,0.0004669832879597798,4.062403920779049e-05,0.165782877814361,11.495245107734787,1.400579201202059
44,CA1,ens_10,ens_10,bin_average,3,788,0.2108691676952983,26,106977,+,2,0.00024304289707133305,4.062403920779049e-05,0.165782877814361,5.9827358827658035,1.2719598698933412
45,CA1,ens_10,ens_10,bin_average,3,793,0.13960922516570445,32,91466,+,2,0.00034985677738175934,4.062403920779049e-05,0.165782877814361,8.612062813159831,0.8421208933411984
46,CA1,ens_10,ens_10,bin_average,3,800,0.1675365899648945,33,105183,+,2,0.0003137389121816264,4.062403920779049e-05,0.165782877814361,7.722986642880664,1.0105783671610362
47,CA1,ens_10,ens_10,bin_average,3,806,0.16779982177047792,34,98795,+,2,0.0003441469710005567,4.062403920779049e-05,0.165782877814361,8.471510408904871,1.0121661777302204
48,CA1,ens_10,ens_10,bin_average,3,811,0.15485620346729184,32,97930,+,2,0.0003267640151128357,4.062403920779049e-05,0.165782877814361,8.043612144066955,0.9340904531811508
49,CA1,ens_10,ens_10,bin_average,3,846,0.15079174292817935,5,119215,H,0,4.194103091053978e-05,4.062403920779049e-05,0.165782877814361,1.0324190240171078,0.9095736840630292
50,CA1,ens_10,ens_10,bin_average,3,849,0.17582202738036012,4,111512,H,0,3.587057895114427e-05,4.062403920779049e-05,0.165782877814361,0.8829889801865235,1.0605560097541598
51,CA1,ens_10,ens_10,bin_average,3,854,0.16452730361555004,4,86666,H,0,4.615420118616297e-05,4.062403920779049e-05,0.165782877814361,1.1361302836009464,0.9924263939957846
52,CA1,ens_10,ens_10,bin_average,3,861,0.206755009027529,4,85528,H,0,4.676830979328408e-05,4.062403920779049e-05,0.165782877814361,1.1512471606790715,1.2471433223583406
53,CA1,ens_10,ens_10,bin_average,3,869,0.16053721202610852,4,103703,H,0,3.8571690307898524e-05,4.062403920779049e-05,0.165782877814361,0.9494794476395052,0.9683582173418028
54,CA1,ens_10,ens_10,bin_average,3,874,0.13626397190843895,3,87112,H,0,3.4438424097713285e-05,4.062403920779049e-05,0.165782877814361,0.8477351038768449,0.8219423724868834
55,CA1,ens_10,ens_10,bin_average,4,1232,0.1562999273076902,47,136825,+,2,0.0003435044765211036,6.690429663689447e-05,0.14159690004122644,5.134266314544552,1.1038372115645394
56,CA1,ens_10,ens_10,bin_average,4,1237,0.17401401071108394,60,109599,+,2,0.0005474502504584897,6.690429663689447e-05,0.14159690004122644,8.18258733709783,1.2289394094109345
57,CA1,ens_10,ens_10,bin_average,4,1243,0.1625660284653902,61,117660,+,2,0.0005184429712731599,6.690429663689447e-05,0.14159690004122644,7.749023565509899,1.148090307189342
58,CA1,ens_10,ens_10,bin_average,4,1250,0.21390064022772,62,108222,+,2,0.000572896453586147,6.690429663689447e-05,0.14159690004122644,8.562924690702486,1.5106308130011463
59,CA1,ens_10,ens_10,bin_average,4,1257,0.20783300781468145,70,106999,+,2,0.0006542117216048747,6.690429663689447e-05,0.14159690004122644,9.778321490403485,1.4677793634900915
60,CA1,ens_10,ens_10,bin_average,4,1262,0.2374722737611136,62,107291,+,2,0.0005778676683039584,6.690429663689447e-05,0.14159690004122644,8.637228060855099,1.6771007959353117
61,CA1,ens_10,ens_10,bin_average,4,1266,0.1526946973928646,46,120031,-,1,0.00038323433113112446,6.690429663689447e-05,0.14159690004122644,5.728097452560159,1.0783759909179296
62,CA1,ens_10,ens_10,bin_average,4,1270,0.1570955176670608,34,124019,-,1,0.0002741515412960917,6.690429663689447e-05,0.14159690004122644,4.097667191450757,1.1094559105553998
63,CA1,ens_10,ens_10,bin_average,4,1274,0.16479907401685842,39,116457,-,1,0.00033488755506324224,6.690429663689447e-05,0.14159690004122644,5.0054715750283805,1.1638607481440384
64,CA1,ens_10,ens_10,bin_average,4,1280,0.19108276235068666,31,107246,-,1,0.00028905506965294745,6.690429663689447e-05,0.14159690004122644,4.320426103897602,1.3494840797718894
65,CA1,ens_10,ens_10,bin_average,4,1287,0.2059781555435933,41,113211,-,1,0.0003621556209202286,6.690429663689447e-05,0.14159690004122644,5.413039806482583,1.4546798375078978
66,CA1,ens_10,ens_10,bin_average,4,1294,0.22068293154277635,39,109523,-,1,0.0003560895884882628,6.690429663689447e-05,0.14159690004122644,5.322372499046597,1.5585293991501492
67,CA1,ens_10,ens_10,bin_average,4,1359,0.13725997652628796,19,87378,+,2,0.00021744603904873082,6.690429663689447e-05,0.14159690004122644,3.2501057477498367,0.9693713385414808
68,CA1,ens_10,ens_10,bin_average,4,1363,0.15064888808152913,28,100677,+,2,0.0002781171469153829,6.690429663689447e-05,0.14159690004122644,4.1569400008013035,1.0639278687433635
69,CA1,ens_10,ens_10,bin_average,4,1369,0.16753236925594844,32,69354,+,2,0.00046140092856936885,6.690429663689447e-05,0.14159690004122644,6.896431944774808,1.1831641032195677
70,CA1,ens_10,ens_10,bin_average,4,1376,0.16258626078187358,22,83941,+,2,0.0002620888481195125,6.690429663689447e-05,0.14159690004122644,3.917369455984733,1.1482331939084542
71,CA1,ens_10,ens_10,bin_average,4,1380,0.2402714195659443,54,80659,+,2,0.0006694851163540338,6.690429663689447e-05,0.14159690004122644,10.006608693422017,1.6968692075602534
72,CA1,ens_10,ens_10,bin_average,4,1384,0.18066345446398327,27,86483,+,2,0.00031220008556594934,6.690429663689447e-05,0.14159690004122644,4.6663682492670615,1.2758997860220278
73,CA1,ens_10,ens_10,bin_average,4,1417,0.12056765374542527,8,103482,H,0,7.730813088266559e-05,6.690429663689447e-05,0.14159690004122644,1.155503230266887,0.8514851222754282
74,CA1,ens_10,ens_10,bin_average,4,1421,0.12635766413089106,8,96857,H,0,8.259599202948677e-05,6.690429663689447e-05,0.14159690004122644,1.2345394269332934,0.8923759213238537
