ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1070,0.0655980893878639,24,411937,Ctrl,0,BLA,5.826133607808961e-05,6.206892420721686e-05,0.05421160823083554,0.9386554837584161,1.2100376935608366
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1071,0.05149864884031782,8,311541,Ctrl,0,BLA,2.5678803110987e-05,6.206892420721686e-05,0.05421160823083554,0.4137143254691899,0.9499561167976089
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1072,0.0635638604446138,7,324940,Ctrl,0,BLA,2.154243860404998e-05,6.206892420721686e-05,0.05421160823083554,0.3470728529486129,1.1725138308746705
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1073,0.14130637903597162,28,331454,Ext,1,BLA,8.447627725114193e-05,6.206892420721686e-05,0.05421160823083554,1.361007594865318,2.6065705048683028
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1074,0.11622127353382661,73,504434,Ext,1,BLA,0.0001447166527236467,6.206892420721686e-05,0.05421160823083554,2.3315476234211943,2.14384478392434
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1075,0.15915680735183907,51,419427,Ext,1,BLA,0.00012159446101467002,6.206892420721686e-05,0.05421160823083554,1.9590231757316654,2.9358436789800075
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1076,0.15850191069138572,48,429324,Ext,1,BLA,0.00011180367275064985,6.206892420721686e-05,0.05421160823083554,1.8012825931603667,2.923763302067654
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1077,0.08785249689042902,33,303620,Ext,1,BLA,0.00010868849219419011,6.206892420721686e-05,0.05421160823083554,1.7510935396807266,1.6205476973925772
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1078,0.08052208940891338,22,230698,Ext,1,BLA,9.536276864125393e-05,6.206892420721686e-05,0.05421160823083554,1.5364011839948393,1.4853292871527919
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1079,0.1124396812140428,31,350210,Ext,1,BLA,8.851831758088005e-05,6.206892420721686e-05,0.05421160823083554,1.4261293990751633,2.0740886478642993
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1080,0.111232017708445,121,503389,Ext,1,BLA,0.00024037076694166936,6.206892420721686e-05,0.05421160823083554,3.8726427114991147,2.051811804490542
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1081,0.08715831004916742,26,314380,Ext,1,BLA,8.270246198867612e-05,6.206892420721686e-05,0.05421160823083554,1.332429441060945,1.6077425646190628
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1082,0.10454963066069299,16,197036,Ext,1,BLA,8.12034349052965e-05,6.206892420721686e-05,0.05421160823083554,1.3082784330883381,1.928546930677943
ens_a2,ens_a2,bin_average,1063,0.03451756108894852,6,409334,Ctrl,0,BLA,1.4657956583132601e-05,4.979773203955808e-05,0.05758179140254156,0.2943498826711362,0.5994527132308872
ens_a2,ens_a2,bin_average,1064,0.036470588235294116,1,260641,Ctrl,0,BLA,3.836694917530243e-06,4.979773203955808e-05,0.05758179140254156,0.07704557537846238,0.6333701565541145
ens_a2,ens_a2,bin_average,1065,0.029680550801062074,26,404056,Ctrl,0,BLA,6.434751618587522e-05,4.979773203955808e-05,0.05758179140254156,1.2921776464590629,0.5154502852051251
ens_a2,ens_a2,bin_average,1066,0.03636092669377011,28,350413,Ctrl,0,BLA,7.990571126071236e-05,4.979773203955808e-05,0.05758179140254156,1.6046054305693531,0.6314657083100962
ens_a2,ens_a2,bin_average,1067,0.07869779231295759,10,308418,Ctrl,0,BLA,3.2423529106602076e-05,4.979773203955808e-05,0.05758179140254156,0.6511045338539841,1.3667131639375152
ens_a2,ens_a2,bin_average,1068,0.09904410952116113,55,423011,Ctrl,0,BLA,0.000130020259520438,4.979773203955808e-05,0.05758179140254156,2.610967491795673,1.7200595380710837
ens_a2,ens_a2,bin_average,1069,0.06584496207013961,38,433601,Ctrl,0,BLA,8.763817426620326e-05,4.979773203955808e-05,0.05758179140254156,1.7598828435918663,1.1435031885311113
ens_a2,ens_a2,bin_average,1070,0.07856976222919931,17,411937,Ctrl,0,BLA,4.126844638864681e-05,4.979773203955808e-05,0.05758179140254156,0.8287214035342851,1.3644897165483354
ens_a2,ens_a2,bin_average,1071,0.05419193414810683,6,311541,Ctrl,0,BLA,1.9259102333240246e-05,4.979773203955808e-05,0.05758179140254156,0.3867465754854316,0.9411297013888125
ens_a2,ens_a2,bin_average,1072,0.062439726924776326,8,324940,Ctrl,0,BLA,2.4619929833199975e-05,4.979773203955808e-05,0.05758179140254156,0.494398616660745,1.0843658282229187
ens_a2,ens_a2,bin_average,1073,0.15080702057931708,27,331454,Ext,1,BLA,8.145926734931544e-05,4.979773203955808e-05,0.05758179140254156,1.6358027567320983,2.6190053644746576
ens_a2,ens_a2,bin_average,1074,0.1271128726208394,69,504434,Ext,1,BLA,0.000136786973122351,4.979773203955808e-05,0.05758179140254156,2.74685146330943,2.2075185492618914
ens_a2,ens_a2,bin_average,1075,0.15900193591301445,53,419427,Ext,1,BLA,0.0001263628712505394,4.979773203955808e-05,0.05758179140254156,2.5375226154910004,2.7613231898512343
ens_a2,ens_a2,bin_average,1076,0.16833571451714582,42,429324,Ext,1,BLA,9.782821365681862e-05,4.979773203955808e-05,0.05758179140254156,1.9645114275306017,2.923419199315077
ens_a2,ens_a2,bin_average,1077,0.09946251175970314,29,303620,Ext,1,BLA,9.551412950398525e-05,4.979773203955808e-05,0.05758179140254156,1.9180417579682385,1.7273257628333014
ens_a2,ens_a2,bin_average,1078,0.08848952213295845,19,230698,Ext,1,BLA,8.235875473562839e-05,4.979773203955808e-05,0.05758179140254156,1.6538655750467641,1.536762229475422
ens_a2,ens_a2,bin_average,1079,0.11689288248107663,30,350210,Ext,1,BLA,8.566288798149681e-05,4.979773203955808e-05,0.05758179140254156,1.7202166539120365,2.0300320575979365
ens_a2,ens_a2,bin_average,1080,0.12416880925053891,108,503389,Ext,1,BLA,0.00021454580850991975,4.979773203955808e-05,0.05758179140254156,4.308344973210626,2.1563901751944856
ens_a2,ens_a2,bin_average,1081,0.09354711754646741,22,314380,Ext,1,BLA,6.997900629811057e-05,4.979773203955808e-05,0.05758179140254156,1.4052649273770337,1.6245954713791415
ens_a2,ens_a2,bin_average,1082,0.11505747644834326,13,197036,Ext,1,BLA,6.59777908605534e-05,4.979773203955808e-05,0.05758179140254156,1.324915576639962,1.9981572932318465
ens_a2,fr0_sc_cyc_all_cFOS_staple.0012.h5,fold_2,1063,0.03272318408460274,15,409334,Ctrl,0,BLA,3.66448914578315e-05,4.98021338447854e-05,0.06438557116337629,0.7358096657472529,0.5082378472898644
ens_a2,fr0_sc_cyc_all_cFOS_staple.0012.h5,fold_2,1064,,0,260641,Ctrl,0,BLA,0.0,4.98021338447854e-05,0.06438557116337629,0.0,
ens_a2,fr0_sc_cyc_all_cFOS_staple.0012.h5,fold_2,1065,0.027670624007347988,34,404056,Ctrl,0,BLA,8.41467519353753e-05,4.98021338447854e-05,0.06438557116337629,1.689621416576832,0.429764363464831
